counties_yield_test,counties_yield_pred_rf,counties_yield_pred_nn
56.6,55.27799999999999,57.7155
52.0,51.16599999999998,51.472675
54.8,49.52400000000001,53.524246
53.3,57.117999999999995,57.59852
59.7,60.46400000000003,62.004337
65.1,65.204,65.35563
53.9,59.757999999999996,58.923813
61.7,58.886,58.143364
50.3,51.52,52.756554
54.9,54.076,53.20343
52.8,46.216000000000015,48.424076
47.4,49.062000000000005,49.08068
61.3,58.53599999999999,59.93
63.9,62.0,63.389618
64.1,64.612,65.04283
46.0,47.64999999999999,47.24077
72.6,66.00799999999998,71.46479
60.6,62.268,63.094135
60.4,64.00399999999999,62.91282
52.2,52.45000000000001,52.296204
65.2,60.52800000000002,63.06485
34.1,34.39200000000001,33.780014
56.5,56.70400000000001,57.565895
51.3,52.585999999999984,52.1139
54.7,55.223999999999975,57.171295
52.1,51.626,49.93314
51.0,47.33199999999999,47.33506
50.5,55.666000000000004,54.364487
48.0,51.895999999999965,50.344574
57.0,58.49799999999998,60.156322
45.6,49.46,43.91882
56.3,58.264,57.69943
50.0,52.65399999999999,52.15593
57.9,57.28799999999999,58.09411
60.9,59.14999999999999,58.991135
56.0,55.25200000000001,52.28763
59.3,54.33200000000002,57.559574
67.9,64.13400000000001,64.31148
54.2,54.714000000000006,55.75772
56.2,54.779999999999994,54.264297
65.0,64.73400000000002,66.59469
59.9,58.0,59.477875
63.4,62.87000000000001,64.41482
44.4,47.456,49.487923
39.1,47.528,43.930317
47.0,49.16,50.076584
57.9,55.5,54.033302
52.1,49.31400000000002,51.633904
56.4,58.52800000000001,57.03483
49.2,51.742000000000026,49.534546
60.8,57.902,59.45134
64.4,60.32000000000001,63.28614
60.0,59.192000000000014,62.29742
60.1,56.587999999999994,58.187553
57.9,57.707999999999984,60.08712
63.0,58.17000000000001,61.69554
59.9,57.36999999999999,58.86368
62.1,57.95000000000001,61.440704
59.4,57.734000000000016,58.99511
62.9,59.08800000000002,62.38505
51.8,55.628000000000014,52.387367
58.3,56.026,56.513863
56.7,56.238,60.3476
55.5,55.126000000000005,54.526047
56.1,57.11199999999998,50.203476
49.1,50.08000000000001,48.80961
54.0,56.35200000000002,57.01989
58.5,56.43800000000001,56.523655
60.9,57.720000000000006,58.701443
53.0,59.36600000000001,60.5783
46.7,53.275999999999996,51.127617
63.0,61.797999999999995,63.84549
58.7,61.832,55.723694
54.1,55.06400000000001,57.67376
61.7,58.95199999999999,62.346825
58.4,55.558000000000014,56.745792
54.5,54.398,55.219597
48.2,52.323999999999984,50.96586
63.0,63.05199999999998,64.90293
45.7,48.292,44.12684
44.3,49.08400000000002,47.11304
61.8,60.28799999999999,61.340736
46.9,50.49799999999998,49.051643
58.7,60.224,57.97207
